SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp008118,skp003623,Christophorus Arnoldus van Neurenberg^0^0^1666,Antonio Marco Magliabechi^1633^1714^0,-1
skp008617,skp003623,Domenico Passionei^1682^1761^0,Antonio Marco Magliabechi^1633^1714^0,1
skp003539,skp003623,Anton Maria Salvini^1653^1729^0,Antonio Marco Magliabechi^1633^1714^0,1
gap0016,skp003623,Alberghetti Antonio^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0020,skp003623,Albizzi Luca degli^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0023,skp003623,Albrizzi Girolamo^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap0025,skp003623,Aldimari Biagio^0^0^1693,Antonio Marco Magliabechi^1633^1714^0,1
gap0048,skp003623,Andreini Pier Andrea^0^0^1690,Antonio Marco Magliabechi^1633^1714^0,1
gap0058,skp003623,Anisson; Posuel e Rigaud^0^0^1696,Antonio Marco Magliabechi^1633^1714^0,1
gap0059,skp003623,Anisson Jacques^0^0^1687,Antonio Marco Magliabechi^1633^1714^0,1
skp001354,skp016830,Abel Tassin D'Allonne^1642^1723^0,Gijsbert Cuper^1644^1716^0,1
skp042320,skp001629,Theodorus Janssonius van Almeloveen^1657^1712^0,Abrahamus a Kerckraad A.F.A.N.^0^0^1687,1
skp001918,skp016830,Adriaan Reland^1676^1718^0,Gijsbert Cuper^1644^1716^0,1
skp001918,skp042320,Adriaan Reland^1676^1718^0,Theodorus Janssonius van Almeloveen^1657^1712^0,1
skp002413,skp037757,Alexander Cunningham of Block^1654^1737^0,Petrus Burman^1668^1741^0,1
skp003592,skp003283,Antonie van Leeuwenhoek^1632^1723^0,Anthonie Heinsius^1641^1720^0,1
skp025637,skp003299,Jean Le Clerc^1657^1736^0,Anthony Ashley Cooper^1671^1713^0,1
skp003349,skp003623,Antoine Bulifon^1640^1707^0,Antonio Marco Magliabechi^1633^1714^0,1
skp016830,skp003393,Gijsbert Cuper^1644^1716^0,Antoine Galland^1646^1715^0,1
gap0081,skp003623,Appiani Paolo Antonio^0^0^1691,Antonio Marco Magliabechi^1633^1714^0,1
