SKpersonId_sender,nameString_sender,dateBirth_sender,dateDeath_sender,dateFl_sender,SKpersonId_receiver,nameString_receiver,dateBirth_receiver,dateDeath_receiver,dateFl_receiver,conflictYearStart,conflictYearEnd,signRelation,notesConflict
skp011835,Enrico Noris,1631,1704,0,skp016959,Giovanni Cinelli Calvolli,1625,1706,0,1682,0,-1,
skp003755,Apollonio Bassetti,1631,1699,0,skp016959,Giovanni Cinelli Calvolli,1625,1706,0,1682,0,-1,
mop1838,Ricciardi Giovanni Battista,1623,1686,0,skp016959,Giovanni Cinelli Calvolli,1625,1706,0,1682,0,-1,
skp003623,Antonio Marco Magliabechi,1633,1714,0,ndg262904,Capponi Ferrante,1611,1689,0,1674,0,-1,
mop1526,Moneglia Giovanni Andrea,1625,1700,0,skp004230,Augustinus Coltellini,1613,1693,0,1674,0,-1,
skp025534,Jean Garnier,1612,1681,0,skp011835,Enrico Noris,1631,1704,0,1674,0,-1,
ndg262904,Capponi Ferrante,1611,1689,0,skp024024,Jacobus Gronovius,1645,1716,0,1674,0,-1,
skp003755,Apollonio Bassetti,1631,1699,0,skp024024,Jacobus Gronovius,1645,1716,0,1674,0,-1,
mop1526,Moneglia Giovanni Andrea,1625,1700,0,skp024024,Jacobus Gronovius,1645,1716,0,1674,0,-1,
skp003623,Antonio Marco Magliabechi,1633,1714,0,ndg7356390,Gornia Giovanbattista,1633,1684,0,1674,0,-1,
mop1854,Rilli Jacopo,0,0,1699,skp024024,Jacobus Gronovius,1645,1716,0,1674,0,-1,
mop2184,Viviani Vincenzo,1622,1703,0,mop1400,Marchetti Alessandro,1633,1714,0,1675,0,-1,
mop0241,Bellini Lorenzo,1643,1704,0,mop2184,Viviani Vincenzo,1622,1703,0,1675,0,-1,
ndg7335827,Nati Pietro,0,0,1675,skp003623,Antonio Marco Magliabechi,1633,1714,0,1674,0,-1,
ndg7335827,Nati Pietro,0,0,1675,skp024024,Jacobus Gronovius,1645,1716,0,1675,0,-1,
ndg264214,Menzini Benedetto,1646,1704,0,skp003623,Antonio Marco Magliabechi,1633,1714,0,1675,0,-1,
