SKpersonId,personStrId
gap0000,"""Un accademico di Roma""^0^0^1689"
gap0001,(Girolamo di S. Ubaldo^0^0^1697
gap0002,(Missing in original)^0^0^1670
gap0003,A.B.A.S.^0^0^1691
gap0004,A.P.C.^0^0^1687
gap0005,Academia Naturae Curiosorum^0^0^1678
gap0008,Accademia dei Fisiocratici [Lettera circolare a stampa firmata da: Bichi Galgano; Scotti Cesare; Girolami Anton Francesco; Sonci Salvatore]^0^0^1697
gap0009,Acciaiuoli Roberto^0^0^1691
gap0010,Achilli Giovanni Battista^0^0^1706
gap0011,Acoluti Andrea^0^0^1700
gap0012,Acquaderni Nicola^0^0^1708
gap0013,Adriani Lorenzo^0^0^1703
gap0014,Adriano da Firenze^0^0^1708
gap0015,Agnellini Timoteo^0^0^1695
gap0016,Alberghetti Antonio^0^0^1702
gap0017,Albergotti Donato^0^0^1675
gap0018,Albizzi [Rinaldo] degli^0^0^1684
gap0019,Albizzi Francesco degli^0^0^1684
gap0020,Albizzi Luca degli^0^0^1702
gap0021,Albizzi Niccol• degli^0^0^1684
gap0022,Albizzini Giovanni^0^0^1662
gap0023,Albrizzi Girolamo^0^0^1704
gap0024,Albutius Antonio^0^0^1698
gap0025,Aldimari Biagio^0^0^1693
gap0026,Aleardi Gaspare^0^0^1676
gap0027,Alessandri Cosimo^0^0^1691
gap0028,Alessandro d'Ognissanti (frate)^0^0^1674
gap0029,Alessandro da S. Sigismondo^0^0^1699
gap0030,Alessandro di S. Elia^0^0^1680
gap0031,Alessio della Concezione^0^0^1681
gap0032,Alfani Vincenzo^0^0^1705
gap0033,Alghisi Tommaso^0^0^1708
gap0034,Alisei Onofrio^0^0^1707
gap0036,Alsati Giovanni Enrico^0^0^1678
gap0037,Altieri Sebastiano^0^0^1694
gap0038,Altoviti Maria Esaltata^0^0^1690
gap0039,Altruci Antonio^0^0^1681
gap0040,Amadori Antonio^0^0^1676
gap0041,Amadori Malegonnelle Antonio^0^0^1679
gap0042,Amerighi Pompeo^0^0^1687
gap0043,Anastasio Filippo^0^0^1687
gap0044,Anderson Olao^0^0^1661
gap0045,Andrea [d'Aquino]^0^0^1694
gap0046,Andrea de Hibernia^0^0^1677
gap0048,Andreini Pier Andrea^0^0^1690
gap0049,Andreucci Andrea^0^0^1711
gap0050,Angelico da Milano^0^0^1689
gap0051,Angelico di Genova^0^0^1687
gap0052,Angelini Giovanni Andrea^0^0^1698
gap0053,Angeli Stefano^0^0^1670
gap0055,Angelo Maria di S. Filippo Scalzo^0^0^1695
gap0056,Angioli Daniello^0^0^1678
gap0058,"Anisson, Posuel e Rigaud^0^0^1696"
gap0059,Anisson Jacques^0^0^1687
gap0060,Anisson Jean^0^0^1679
gap0061,Anisson Lorenzo^0^0^1670
gap0063,Ans [Paul] Ernest Ruth d'^0^0^1696
gap0064,Anselmi Giuseppe^0^0^1707
gap0065,Anselmo di Badia^0^0^1696
gap0066,Anselmo di Ferrara^0^0^1680
gap0067,Ansidei Giuseppe^0^0^1694
gap0068,Ansidei Marcantonio^0^0^1696
gap0069,Ansidei Signorelli Giuseppe^0^0^1702
gap0070,Antelmi Joseph^0^0^1685
gap0071,Antinori Francesco^0^0^1665
gap0072,Antinori Niccol•^0^0^1709
gap0073,Antoniani Berardelli Fernando^0^0^1696
gap0074,Antonio da Terrinca^0^0^1681
gap0075,Antonio delle Scuole Pie^0^0^1707
gap0076,Antonio di S. Niccol•^0^0^1695
gap0077,Antonio Domenico da S. Giovanni Evangelista^0^0^1685
gap0078,Antonio Nicolas^0^0^1675
gap0079,Anton Maria di Cortona^0^0^1683
gap0080,Anunio Ottaviano^0^0^1689
gap0081,Appiani Paolo Antonio^0^0^1691
gap0083,Aprosio Giovanni Angelo^0^0^1675
gap0084,Arbang Augustin^0^0^1700
gap0085,Arcangelo di Parma^0^0^1680
gap0086,Arcioni Angelo Maria^0^0^1681
gap0087,Arciti Lorenzo^0^0^1677
gap0088,Arfaruoli Filippo^0^0^1690
gap0089,Argelati Filippo^0^0^1704
gap0090,Argelati Giovanni Ambrogio^0^0^1683
gap0091,Ariani Agostino^0^0^1699
gap0092,Arisi Francesco^0^0^1700
gap0093,Armellini Mariano^0^0^1690
gap0094,Arnaud Giovanni^0^0^1683
gap0101,Arnolfini Domenico^0^0^1701
gap0102,Arpe Agostino Maria^0^0^1705
gap0103,Arrighetti G.^0^0^1667
gap0104,Arrighi Pompeo^0^0^1691
gap0106,Arrighi Stefano^0^0^1689
gap0107,Arrigoni Arrigo^0^0^1693
gap0108,Artudillo Carillo Leonardo d'^0^0^1693
gap0109,Asclepi Andrea^0^0^1684
gap0110,Asclepio Giovanni^0^0^1707
gap0111,Ashe George^0^0^1690
gap0112,Astori (?) Riccardo^0^0^1661
gap0113,Astori Giovanni Antonio^0^0^1701
gap0114,Astorini Elia^0^0^1691
gap0115,Attias Giuseppe^0^0^1703
gap0116,Aulisio Domenico^0^0^1694
gap0118,Auzout Adriano^0^0^1686
gap0119,Averani Benedetto^0^0^1698
gap0120,Avitosi Paolo^0^0^1695
gap0121,Axen Petrus^0^0^1692
gap0123,Ayroli Giacomo Maria^0^0^1681
gap0124,Azzi Faustina degli^0^0^1696
gap0125,Azzi Francesco Maria degli^0^0^1702
gap0126,Baba Andrea^0^0^1691
gap0127,Baba Gabriele^0^0^1690
gap0128,Baccani Francesco^0^0^1697
gap0129,Baccherelli Agostino^0^0^1680
gap0130,Bacchini Benedetto^0^0^1691
gap0131,Baccioni Bonaventura^0^0^1686
gap0132,Bacci Ottavio^0^0^1688
gap0133,Baciocchi Giovanni Tommaso^0^0^1695
gap0135,Badii Raffaello^0^0^1685
gap0136,Baenst Aureliano de^0^0^1696
gap0137,Baertius Franciscus^0^0^1688
gap0138,Baffico Giovanni Francesco^0^0^1683
gap0139,Baggi Giulio Cesare^0^0^1685
gap0140,Baglioni Francesco^0^0^1689
gap0141,Baglioni Paolo^0^0^1688
gap0142,Baglioni Tommaso^0^0^1673
gap0144,Baglivi Antonio^0^0^1698
gap0145,Bagnati Simone^0^0^1698
gap0146,Bagnesi Girolamo^0^0^1675
gap0147,Bagnoli Giuseppe^0^0^1692
gap0148,Balban^0^0^1684
gap0149,Baldassari Giovanni Battista^0^0^1671
gap0150,Baldazzi Giovanni^0^0^1668
gap0152,Baldigiani Antonio^0^0^1676
gap0153,Baldigiani Giovanni Maria^0^0^1692
gap0154,Baldini Leonardo^0^0^1686
gap0155,Baldinotti Domenico^0^0^1677
gap0156,Baldinucci Filippo^0^0^1676
gap0157,Baldniger Filippo Alberto^0^0^1694
gap0158,Baldocci Francesco Maria^0^0^1687
gap0159,Baldoriotti ne' Ferandini Alessandra^0^0^1697
gap0160,Baldoriotti Luigi^0^0^1678
gap0162,Baldovini Baldovino^0^0^1699
gap0163,Baldovini Francesco^0^0^1665
gap0164,Balducci Bonaventura^0^0^1680
gap0165,Balestri Giacomo^0^0^1689
gap0166,Balestri Ridolfo^0^0^1697
gap0167,Balestri Rinaldo^0^0^1709
gap0168,Balle Tommaso^0^0^1692
gap0170,Baluzzi Clemente^0^0^1692
gap0171,Bambacari Cesare Niccolò^0^0^1688
gap0173,Bambagini Michelangelo^0^0^1688
gap0174,Bandini Giulio^0^0^1698
gap0175,Banduri Anselmo Maria^0^0^1700
gap0176,Barbari Giuseppe Antonio^0^0^1695
gap0177,Barbarigo Giovanni Francesco^0^0^1704
gap0179,Barberi Carlo Filiberto^0^0^1705
gap0181,Barbetti Antonio Maria^0^0^1681
gap0182,Barbetti Giovanni Domenico^0^0^1678
gap0185,Barbieri Giuseppe^0^0^1685
gap0186,Barbieri Pietro^0^0^1709
gap0189,Barbigioni Diamante^0^0^1678
gap0190,Barboni Arsenio^0^0^1682
gap0191,Barcellini Alessandro^0^0^1713
gap0192,Barcellini Pier Girolamo^0^0^1706
gap0193,Barch Samuel^0^0^1688
gap0194,Bardi Giovanni^0^0^1695
gap0195,Bardi Niccol•^0^0^1698
gap0196,Bardi Pompeo de'^0^0^1693
gap0197,Bardi Vincenzo de^0^0^1674
gap0198,Bargagli Giulio Giuseppe^0^0^1687
gap0200,Baroncini Odoardo Maria^0^0^1698
gap0202,Barone Bonaventura^0^0^1681
gap0203,Barrigues Arniel Matteo^0^0^1686
gap0204,Barsanti Giovanni Niccol•^0^0^1685
gap0206,Bartholdi Cristiano Federico^0^0^1690
gap0207,Bartholinus Caspar^0^0^1678
gap0209,Bartoletti Ermenegildo^0^0^1689
gap0210,Bartoli Cosimo^0^0^1696
gap0211,Bartoli Daniello^0^0^1676
gap0212,Bartoli Domenico^0^0^1693
gap0213,Bartolini Cristoforo^0^0^1688
gap0214,Bartolini Gianfrancesco^0^0^1663
gap0215,Bartolini Niccolò^0^0^1681
gap0216,Bartolocci Giulio^0^0^1683
gap0217,Bartolommei Mattia Maria^0^0^1676
gap0218,Baruchi Antonio^0^0^1697
gap0219,Baruffaldi Girolamo^0^0^1705
gap0220,Barzan(ti) Michelangelo^0^0^1666
gap0221,Barzu [...] Baldassarre^0^0^1694
gap0222,Basilio di Casabasc[iana]^0^0^1685
gap0224,Bassi Tommaso Agostino^0^0^1693
gap0225,Battieri Jacopo^0^0^1691
gap0226,Baudrand Michel Antoine^0^0^1691
gap0227,Bava Niccol•^0^0^1701
gap0229,Bayle [Francois]^0^0^1700
gap0231,Beaupoil Antoine^0^0^1700
gap0232,Becci Giovanni Battista^0^0^1679
gap0233,Beccuti Gregorio^0^0^1670
gap0234,Beck Crstiano^0^0^1663
gap0235,Beck Matthaeus Fridericus^0^0^1696
gap0236,Bedeschi Girolamo^0^0^1687
gap0237,Behm Hans^0^0^1697
gap0238,Bellanti Girolamo^0^0^1676
gap0239,Bellini Francesco Maria^0^0^1684
gap0240,Bellini Giuseppe Maria^0^0^1683
gap0241,Bellini Lorenzo^1643^1704^0
gap0242,Belli Romolo^0^0^1706
gap0243,Bellisomo Francesco^0^0^1700
gap0244,Bellori Domenico^0^0^1708
gap0245,Bellori Giovanni Pietro^0^0^1682
gap0246,Bellosi Pietrercole^0^0^1673
gap0248,Benaglia Marino^0^0^1705
gap0249,Benagli Giuseppe^0^0^1677
gap0250,Benamato Gaudenzio Antonio^0^0^1688
gap0251,Bendinelli Michelangelo^0^0^1687
gap0252,Benedetti Lodovico Vincenzo^0^0^1684
gap0253,Benedetto di Ges— Cristo^0^0^1666
gap0254,Benedetto Maria da Castrone^0^0^1702
gap0255,Benfatti Francesco^0^0^1683
gap0256,Benotti Michele^0^0^1686
gap0257,Benriceuti Lorenzo Maria^0^0^1688
gap0258,Bentiano^0^0^1687
gap0259,Bentivogli Filippo^0^0^1687
gap0260,Bentivoglio^0^0^1676
gap0261,Benvenuti Bernardo^0^0^1667
gap0262,Benvenuti Francesco^0^0^1699
gap0263,Benvenuti Giovanni Francesco^0^0^1685
gap0264,Bepori Marc'Andrea^0^0^1695
gap0265,Beretta Gaspare^0^0^1700
gap0266,Berettari Francesco^0^0^1686
gap0267,Beretti Muzio^0^0^1688
gap0268,Bernardino da Firenze^0^0^1688
gap0269,Bernardino da Pontremoli^0^0^1697
gap0270,Bernardino Giuseppe^0^0^1688
gap0271,Bernieri Aurelio^0^0^1695
gap0272,Bernino Domenico^0^0^1685
gap0273,Berrettari Bernardino^0^0^1704
gap0274,Berrettari Francesco Ubaldo^0^0^1706
gap0275,Berruyer^0^0^1670
gap0276,Bersighelli Camillo^0^0^1689
gap0277,Bertani Giovanni^0^0^1670
gap0279,Berti Benedetto^0^0^1687
gap0280,Berti Michele^0^0^1678
gap0281,Berzighelli Giovanni Niccolò^0^0^1695
gap0282,Berzighelli Ugo^0^0^1692
gap0283,Betti Bernardo Maria^0^0^1689
gap0284,Beverini Bartolomeo^0^0^1681
gap0286,Bianchi Giulio Maria^0^0^1684
gap0287,Bianchini Francesco^0^0^1705
gap0288,Biffi Niccol•^0^0^1678
gap0289,Bigazzi Angelico^0^0^1678
gap0290,Bigazzi Cristoforo^0^0^1677
gap0293,Biliotti Ferdinando^0^0^1705
gap0294,Bimbacci Niccol•^0^0^1679
gap0295,Bindi Arcangelo^0^0^1689
gap0297,Bindi Jacopo^0^0^1666
gap0298,Bini Angiolo Maria^0^0^1664
gap0300,Bircherodus Janus jr.^0^0^1684
gap0301,Biringucci Pietro^0^0^1707
gap0302,Bissaiga Giovanni^0^0^1690
gap0303,Bissoni Odoardo^0^0^1692
gap0304,Bitti Francesco Maria^0^0^1689
gap0306,Blaeu Guglielmo^0^0^1662
gap0307,Blaeu Pietro^0^0^1672
gap0310,Bluteau Raffaele^0^0^1685
gap0311,Boarsala Carlo^0^0^1687
gap0312,Boccolini Giovanni Battista^0^0^1711
gap0313,Boccone Alfonso^0^0^1678
gap0315,Bodeni Ridolfo Cristoforo^0^0^1690
gap0316,Boldoni Ottavio^0^0^1678
gap0317,Bolgi Angelo Andrea^0^0^1688
gap0318,Bolgi Pier Maria^0^0^1687
gap0319,Bolognesi Giuseppe Maria^0^0^1690
gap0320,Boltardo Giovanni^0^0^1678
gap0321,Bonafede Giuseppe^0^0^1703
gap0322,Bonanni Filippo^0^0^1700
gap0323,Bonaventura^0^0^1683
gap0324,Bonaventura del S[acro] C[uore]^0^0^1693
gap0325,Bonaveri Giovanni Antonio^0^0^1685
gap0326,Boncompagno Apollonio^0^0^1704
gap0327,Bondicchi Camillo^0^0^1700
gap0328,Bondicchi Francesco^0^0^1679
gap0329,Bondoni Teodoro^0^0^1703
gap0330,Bonelli Pietro Paolo^0^0^1698
gap0331,Bonfanti Cristoforo^0^0^1680
gap0332,Bonfigli Francesco Maria^0^0^1677
gap0333,Bongino Giovanni^0^0^1691
gap0334,Bonini Filippo Maria^0^0^1674
gap0335,Bonjour Guglielmo^0^0^1700
gap0336,Bonomi Giovanni Francesco^0^0^1688
gap0337,Borboni Tancredi^0^0^1672
gap0339,Borde Filippo^0^0^1671
gap0344,Borgherini Giovanni Battista^0^0^1677
gap0346,Borghesi Ridolfo^0^0^1684
gap0347,Borghi Andrea^0^0^1676
gap0348,Borghi Camillo Maria^0^0^1710
gap0349,Borghini Maria Selvaggia^0^0^1692
gap0351,Borri Francesco Giuseppe^0^0^1687
gap0352,Borromei Giovanni Antonio^0^0^1667
gap0353,Borro Niccol• del^0^0^1688
gap0354,Borsari Antonio^0^0^1700
gap0355,Bosca Pietro Paolo^0^0^1680
gap0356,Boschi Paolo^0^0^1687
gap0357,Bosdari Niccol•^0^0^1685
gap0358,Bosdari Pietro^0^0^1677
gap0359,Boselli Cipriano^0^0^1672
gap0360,Bossi Pietro^0^0^1671
gap0361,Bottari Giovanni^0^0^1690
gap0362,Bottini Giovanni Battista^0^0^1697
gap0363,Bouchaud abate^0^0^1693
gap0364,Bourguet Louis^0^0^1709
gap0365,Bournardel Feliciano^0^0^1704
gap0367,Boyoland conte di^0^0^1704
gap0368,Bracceschi Giulio Cesare^0^0^1665
gap0369,Bracciolini Baroni Ippolito^0^0^1677
gap0370,Braida Giacinto^0^0^1701
gap0372,Brancaccini Domenico Maria^0^0^1681
gap0373,Brancaccio Giovanni^0^0^1702
gap0374,Branchi Anton Giuseppe^0^0^1708
gap0377,Bresci (?) [...]^0^0^1703
gap0378,Bresciani Benedetto^0^0^1685
gap0379,Bresciani Sigismondo^0^0^1689
gap0380,Brevi Lodovico^0^0^1695
gap0381,Briesmannus Johannes^0^0^1676
gap0382,Brigandi Simeone^0^0^1678
gap0383,Brinchius Ivanus^0^0^1709
gap0384,Brizi Angelo^0^0^1698
gap0385,Brocchi Giovanni Battista^0^0^1664
gap0386,Brondi Giuseppe^0^0^1678
gap0387,Bru Giovanni Luca de^0^0^1682
gap0388,Brunacci Alessandro^0^0^1664
gap0389,Brunamontini Antonio^0^0^1696
gap0390,Brunelleschi Antonio^0^0^1705
gap0392,Brunetti Giovanni Maria^0^0^1679
gap0393,Brunozzi Alfonso^0^0^1700
gap0394,Bruschi Francesco^0^0^1689
gap0395,Bubani Ortensio^0^0^1681
gap0396,Bubulli Niccol•^0^0^1682
gap0397,Buccioli Domenico^0^0^1690
gap0398,Bucelli Giuseppe^0^0^1695
gap0399,Buchel Johannes^0^0^1712
gap0401,Bulifon Niccol•^0^0^1694
gap0403,Buonamici Salvatore^0^0^1689
gap0404,Buonaparte Andrea^0^0^1680
gap0405,Buonarroti Filippo^0^0^1699
gap0407,Buondelmonti Ladislao^0^0^1690
gap0408,Buonfrizieri Placido Maria^0^0^1700
gap0409,Burali Carlo Maria^0^0^1677
gap0410,Burchi Bastiano^0^0^1692
gap0413,Burger Petrus^0^0^1690
